root,source_region,receiver_region,source_n,receiver_n,source_country_count,receiver_country_count,source_branch_count,receiver_branch_count,deepest_A_s,deepest_D,deepest_call,source_receiver_reliability_score,display_class
A1b,central_africa,east_europe,91,3648,5,10,67,2623,0.0249451754385964,8.206889564094727,False,1.0,broad-root deferred
A1b,central_africa,north_africa,91,1158,5,7,67,815,0.0785837651122625,5.598234969891456,False,1.0,broad-root deferred
A1b,central_africa,north_america,91,2846,5,4,67,2219,0.0319747013352073,7.793497041462959,False,1.0,broad-root deferred
A1b,central_africa,north_europe,91,3637,5,7,67,2326,0.0250206213912565,7.930126192601557,False,1.0,broad-root deferred
A1b,central_africa,northeast_africa,91,343,5,6,67,230,0.2653061224489796,2.64183921871222,False,1.0,broad-root deferred
A1b,central_africa,pacific_oceania,91,131,5,6,67,122,0.6946564885496184,1.583197545291913,False,1.0,broad-root deferred
A1b,central_africa,south_america,91,193,5,8,67,171,0.4715025906735751,2.166854738241491,False,1.0,broad-root deferred
A1b,central_africa,south_asia,91,816,5,5,67,593,0.1115196078431372,4.922143724428646,False,1.0,broad-root deferred
A1b,central_africa,southeast_asia,91,301,5,9,67,245,0.3023255813953488,2.9792900479085134,False,1.0,broad-root deferred
A1b,central_africa,southern_africa,91,39,5,6,67,36,2.333333333333333,-1.2397430838293766,True,1.0,broad-root deferred
A1b,central_africa,west_africa,91,351,5,13,67,234,0.2592592592592592,2.3491232454064583,False,1.0,broad-root deferred
A1b,central_africa,west_asia,91,15790,5,19,67,9377,0.0057631412286257,11.096145255922522,False,1.0,broad-root deferred
A1b,central_africa,west_europe,91,9034,5,21,67,6332,0.0100730573389417,10.004375351864539,False,1.0,broad-root deferred
A1b,central_asia,americas_indigenous_relevant,357,345,6,11,258,287,1.0347826086956522,0.43804474540320953,False,1.0,broad-root deferred
A1b,central_asia,balkan,357,2164,6,10,258,1433,0.1649722735674676,4.011650461003603,False,1.0,broad-root deferred
A1b,central_asia,caribbean,357,221,6,14,258,193,1.6153846153846154,-0.21807963925038637,True,1.0,broad-root deferred
A1b,central_asia,central_africa,357,91,6,5,258,67,3.923076923076923,-2.7488425126612768,True,1.0,broad-root deferred
A1b,central_asia,east_africa,357,76,6,3,258,48,4.697368421052632,-3.921768975657765,True,1.0,broad-root deferred
A1b,central_asia,east_asia,357,2247,6,7,258,1580,0.1588785046728972,4.227755224292754,False,1.0,broad-root deferred
A1b,central_asia,east_europe,357,3648,6,10,258,2623,0.0978618421052631,5.458047051433449,False,1.0,broad-root deferred
A1b,central_asia,north_africa,357,1158,6,7,258,815,0.3082901554404145,2.8493924572301776,False,1.0,broad-root deferred
A1b,central_asia,north_america,357,2846,6,4,258,2219,0.1254392129304286,5.044654528801681,False,1.0,broad-root deferred
A1b,central_asia,north_europe,357,3637,6,7,258,2326,0.0981578223810833,5.181283679940279,False,1.0,broad-root deferred
A1b,central_asia,northeast_africa,357,343,6,6,258,230,1.0408163265306123,-0.10700329394905685,True,1.0,broad-root deferred
A1b,central_asia,pacific_oceania,357,131,6,6,258,122,2.7251908396946565,-1.1656449673693643,True,1.0,broad-root deferred
A1b,central_asia,south_america,357,193,6,8,258,171,1.849740932642487,-0.5819877744197857,True,1.0,broad-root deferred
A1b,central_asia,south_asia,357,816,6,5,258,593,0.4375,2.1733012117673685,False,1.0,broad-root deferred
A1b,central_asia,southeast_asia,357,301,6,9,258,245,1.186046511627907,0.23044753524723574,False,1.0,broad-root deferred
A1b,central_asia,southern_africa,357,39,6,6,258,36,9.153846153846152,-3.988585596490654,True,1.0,broad-root deferred
A1b,central_asia,west_africa,357,351,6,13,258,234,1.017094017094017,-0.3997192672548189,True,1.0,broad-root deferred
A1b,central_asia,west_asia,357,15790,6,19,258,9377,0.0226092463584547,8.347302743261247,False,1.0,broad-root deferred
A1b,central_asia,west_europe,357,9034,6,21,258,6332,0.0395173787912331,7.255532839203261,False,1.0,broad-root deferred
A1b,east_africa,americas_indigenous_relevant,76,345,3,11,48,287,0.2202898550724637,4.3598137210609735,False,1.0,broad-root deferred
A1b,east_africa,balkan,76,2164,3,10,48,1433,0.0351201478743068,7.933419436661367,False,1.0,broad-root deferred
A1b,east_africa,caribbean,76,221,3,14,48,193,0.3438914027149321,3.7036893364073786,False,1.0,broad-root deferred
A1b,east_africa,central_africa,76,91,3,5,48,67,0.8351648351648352,1.1729264629964875,False,1.0,broad-root deferred
A1b,east_africa,central_asia,76,357,3,6,48,258,0.2128851540616246,3.921768975657765,False,1.0,broad-root deferred
A1b,east_africa,east_asia,76,2247,3,7,48,1580,0.0338228749443702,8.149524199950518,False,1.0,broad-root deferred
A1b,east_africa,east_europe,76,3648,3,10,48,2623,0.0208333333333333,9.379816027091215,False,1.0,broad-root deferred
A1b,east_africa,north_africa,76,1158,3,7,48,815,0.0656303972366148,6.771161432887943,False,1.0,broad-root deferred
A1b,east_africa,north_america,76,2846,3,4,48,2219,0.0267041461700632,8.966423504459444,False,1.0,broad-root deferred
A1b,east_africa,north_europe,76,3637,3,7,48,2326,0.0208963431399505,9.103052655598045,False,1.0,broad-root deferred
A1b,east_africa,northeast_africa,76,343,3,6,48,230,0.2215743440233236,3.814765681708708,False,1.0,broad-root deferred
A1b,east_africa,pacific_oceania,76,131,3,6,48,122,0.5801526717557252,2.7561240082884004,False,1.0,broad-root deferred
A1b,east_africa,south_america,76,193,3,8,48,171,0.3937823834196891,3.339781201237979,False,1.0,broad-root deferred
A1b,east_africa,south_asia,76,816,3,5,48,593,0.0931372549019607,6.095070187425134,False,1.0,broad-root deferred
A1b,east_africa,southeast_asia,76,301,3,9,48,245,0.2524916943521594,4.152216510905,False,1.0,broad-root deferred
A1b,east_africa,southern_africa,76,39,3,6,48,36,1.948717948717949,-0.06681662083288935,True,1.0,broad-root deferred
A1b,east_africa,west_africa,76,351,3,13,48,234,0.2165242165242165,3.5220497084029456,False,1.0,broad-root deferred
A1b,east_africa,west_asia,76,15790,3,19,48,9377,0.0048131728942368,12.26907171891901,False,1.0,broad-root deferred
A1b,east_africa,west_europe,76,9034,3,21,48,6332,0.0084126632720832,11.177301814861027,False,1.0,broad-root deferred
A1b,east_asia,americas_indigenous_relevant,2247,345,7,11,1580,287,6.51304347826087,-3.7897104788895435,True,1.0,broad-root deferred
A1b,east_asia,balkan,2247,2164,7,10,1580,1433,1.038354898336414,-0.21610476328915054,True,1.0,broad-root deferred
A1b,east_asia,caribbean,2247,221,7,14,1580,193,10.167420814479636,-4.44583486354314,True,1.0,broad-root deferred
A1b,east_asia,central_africa,2247,91,7,5,1580,67,24.692307692307693,-6.97659773695403,True,1.0,broad-root deferred
A1b,east_asia,central_asia,2247,357,7,6,1580,258,6.294117647058823,-4.227755224292754,True,1.0,broad-root deferred
A1b,east_asia,east_africa,2247,76,7,3,1580,48,29.56578947368421,-8.149524199950518,True,1.0,broad-root deferred
A1b,east_asia,east_europe,2247,3648,7,10,1580,2623,0.615953947368421,1.2302918271406964,False,1.0,broad-root deferred
A1b,east_asia,north_africa,2247,1158,7,7,1580,815,1.9404145077720207,-1.378362767062576,True,1.0,broad-root deferred
A1b,east_asia,north_america,2247,2846,7,4,1580,2219,0.7895291637385805,0.816899304508928,False,1.0,broad-root deferred
A1b,east_asia,north_europe,2247,3637,7,7,1580,2326,0.617816882045642,0.9535284556475262,False,1.0,broad-root deferred
A1b,east_asia,northeast_africa,2247,343,7,6,1580,230,6.551020408163265,-4.33475851824181,True,1.0,broad-root deferred
A1b,east_asia,pacific_oceania,2247,131,7,6,1580,122,17.15267175572519,-5.393400191662117,True,1.0,broad-root deferred
A1b,east_asia,south_america,2247,193,7,8,1580,171,11.642487046632125,-4.809742998712539,True,1.0,broad-root deferred
A1b,east_asia,south_asia,2247,816,7,5,1580,593,2.7536764705882355,-2.054454012525385,True,1.0,broad-root deferred
A1b,east_asia,southeast_asia,2247,301,7,9,1580,245,7.465116279069767,-3.9973076890455173,True,1.0,broad-root deferred
A1b,east_asia,southern_africa,2247,39,7,6,1580,36,57.61538461538461,-8.216340820783406,True,1.0,broad-root deferred
A1b,east_asia,west_africa,2247,351,7,13,1580,234,6.401709401709402,-4.627474491547573,True,1.0,broad-root deferred
A1b,east_asia,west_asia,2247,15790,7,19,1580,9377,0.1423052564914503,4.119547518968493,False,1.0,broad-root deferred
A1b,east_asia,west_europe,2247,9034,7,21,1580,6332,0.2487270312154084,3.027777614910508,False,1.0,broad-root deferred
A1b,east_europe,americas_indigenous_relevant,3648,345,10,11,2623,287,10.57391304347826,-5.02000230603024,True,1.0,broad-root deferred
A1b,east_europe,balkan,3648,2164,10,10,2623,1433,1.6857670979667283,-1.4463965904298475,True,1.0,broad-root deferred
A1b,east_europe,caribbean,3648,221,10,14,2623,193,16.506787330316744,-5.676126690683836,True,1.0,broad-root deferred
A1b,east_europe,central_africa,3648,91,10,5,2623,67,40.08791208791209,-8.206889564094727,True,1.0,broad-root deferred
A1b,east_europe,central_asia,3648,357,10,6,2623,258,10.218487394957982,-5.458047051433449,True,1.0,broad-root deferred
A1b,east_europe,east_africa,3648,76,10,3,2623,48,48.0,-9.379816027091215,True,1.0,broad-root deferred
A1b,east_europe,east_asia,3648,2247,10,7,2623,1580,1.623497997329773,-1.2302918271406964,True,1.0,broad-root deferred
A1b,east_europe,north_africa,3648,1158,10,7,2623,815,3.150259067357513,-2.608654594203272,True,1.0,broad-root deferred
A1b,east_europe,north_america,3648,2846,10,4,2623,2219,1.281799016163036,-0.4133925226317685,True,1.0,broad-root deferred
A1b,east_europe,north_europe,3648,3637,10,7,2623,2326,1.0030244707176244,-0.27676337149317004,True,1.0,broad-root deferred
A1b,east_europe,northeast_africa,3648,343,10,6,2623,230,10.635568513119534,-5.565050345382507,True,1.0,broad-root deferred
A1b,east_europe,pacific_oceania,3648,131,10,6,2623,122,27.84732824427481,-6.6236920188028146,True,1.0,broad-root deferred
A1b,east_europe,south_america,3648,193,10,8,2623,171,18.90155440414508,-6.040034825853235,True,1.0,broad-root deferred
A1b,east_europe,south_asia,3648,816,10,5,2623,593,4.470588235294118,-3.2847458396660807,True,1.0,broad-root deferred
A1b,east_europe,southeast_asia,3648,301,10,9,2623,245,12.119601328903654,-5.2275995161862125,True,1.0,broad-root deferred
A1b,east_europe,southern_africa,3648,39,10,6,2623,36,93.53846153846152,-9.446632647924103,True,1.0,broad-root deferred
A1b,east_europe,west_africa,3648,351,10,13,2623,234,10.393162393162394,-5.8577663186882685,True,1.0,broad-root deferred
A1b,east_europe,west_asia,3648,15790,10,19,2623,9377,0.2310322989233692,2.8892556918277963,False,1.0,broad-root deferred
A1b,east_europe,west_europe,3648,9034,10,21,2623,6332,0.4038078370599955,1.7974857877698114,False,1.0,broad-root deferred
A1b,north_africa,americas_indigenous_relevant,1158,345,7,11,815,287,3.356521739130435,-2.4113477118269677,True,1.0,broad-root deferred
